project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,approval_status,rehabilitation_status,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,is_delayed,delay_duration_days
Urban Infrastructure,Gujarat,Surat,14.7,25,0.17,0.53,0,0.48,0.47,0.28,0.25,0.91,152,0.43,1,205
Railways,Gujarat,Surat,12.56,19,0.68,0.76,1,0.67,0.58,0.99,0.8,0.75,173,0.19,0,0
Urban Infrastructure,Odisha,Jharsuguda,42.95,97,0.4,0.9,0,0.55,0.42,0.82,0.56,0.87,68,0.09,0,0
Highways,Bihar,Muzaffarpur,18.55,29,0.29,0.3,0,0.12,0.26,0.93,0.06,0.73,174,0.27,0,0
Railways,Odisha,Jharsuguda,31.62,41,0.34,0.41,0,0.2,0.76,0.34,0.52,0.63,207,0.4,1,178
Railways,Madhya Pradesh,Gwalior,120.81,226,0.25,0.92,1,0.62,0.28,0.62,0.33,0.58,119,0.09,0,0
Mining,Maharashtra,Pune,115.35,184,0.87,0.94,0,0.81,0.33,0.6,0.1,0.42,193,0.32,0,0
Urban Infrastructure,West Bengal,Murshidabad,196.22,280,0.24,0.58,1,0.79,0.36,0.61,0.45,0.42,139,0.08,1,241
Urban Infrastructure,Bihar,Patna,122.75,88,0.85,0.49,0,0.77,0.25,0.75,0.33,0.37,134,0.51,1,199
Railways,Uttar Pradesh,Gorakhpur,226.43,237,0.59,0.42,0,0.79,0.86,0.45,0.23,0.49,224,0.57,1,254
Highways,West Bengal,Murshidabad,46.96,46,0.84,0.59,0,0.14,0.65,0.71,0.36,0.3,158,0.63,1,221
Highways,Maharashtra,Aurangabad,16.08,23,0.5,0.93,0,0.91,0.85,0.81,0.21,0.49,199,0.46,0,0
Industrial Corridors,Madhya Pradesh,Gwalior,14.88,23,0.89,0.32,1,0.9,0.54,0.36,0.32,0.83,72,0.43,1,282
Highways,Madhya Pradesh,Indore,101.2,158,0.28,0.53,0,0.58,0.57,0.95,0.15,0.85,132,0.47,0,0
Urban Infrastructure,Uttar Pradesh,Lucknow,34.51,70,0.57,0.91,1,0.32,0.65,0.57,0.13,0.68,192,0.56,1,240
Water Resources,Bihar,Bhagalpur,36.63,49,0.21,0.47,1,0.63,0.43,0.76,0.87,0.39,165,0.53,1,209
Mining,Rajasthan,Udaipur,21.34,20,0.48,0.8,0,0.6,0.55,0.76,0.86,0.38,151,0.31,1,192
Railways,Gujarat,Surat,23.49,13,0.58,0.5,0,0.3,0.59,0.61,0.8,0.41,187,0.44,1,176
Solar Parks,Bihar,Patna,45.02,93,0.61,0.83,1,0.64,0.96,0.39,0.26,0.58,122,0.15,1,226
Mining,Rajasthan,Jodhpur,14.24,28,0.41,0.97,0,0.82,0.89,0.7,0.7,0.93,214,0.47,0,0
Water Resources,Madhya Pradesh,Gwalior,40.68,72,0.16,0.5,1,0.83,0.22,0.18,0.58,0.28,150,0.49,1,256
Solar Parks,Odisha,Bhubaneswar,110.93,110,0.66,0.86,1,0.15,0.14,0.98,0.1,0.58,123,0.53,1,270
Mining,Maharashtra,Nashik,6.01,18,0.52,0.97,1,0.28,0.71,0.27,0.86,0.71,126,0.54,0,0
Highways,Uttar Pradesh,Kanpur,9.65,33,0.22,0.97,0,0.7,0.14,0.35,0.95,0.38,156,0.31,0,0
Urban Infrastructure,Maharashtra,Thane,56.85,84,0.9,0.54,0,0.87,0.15,0.96,0.69,0.93,140,0.59,0,0
Water Resources,Tamil Nadu,Tiruchirappalli,98.61,134,0.91,0.58,0,0.57,0.24,0.27,0.26,0.46,183,0.64,0,0
Solar Parks,Tamil Nadu,Tiruchirappalli,22.38,42,0.83,0.44,1,0.74,0.42,0.25,0.55,0.9,157,0.64,1,294
Water Resources,Bihar,Gaya,6.7,30,0.82,0.44,0,0.12,0.49,0.82,0.15,0.65,143,0.4,1,231
Mining,Madhya Pradesh,Ujjain,104.12,62,0.18,0.58,0,0.65,0.57,0.33,0.32,0.2,175,0.39,0,0
Urban Infrastructure,Madhya Pradesh,Ujjain,17.31,20,0.94,0.36,0,0.97,0.99,0.19,0.7,0.43,136,0.32,1,207
Water Resources,Gujarat,Vadodara,24.8,11,0.44,0.75,0,0.69,0.45,0.3,0.32,0.22,182,0.23,0,0
Solar Parks,Gujarat,Vadodara,42.74,84,0.24,0.62,0,0.93,0.32,0.9,0.18,0.49,174,0.25,0,0
Railways,Gujarat,Surat,19.43,33,0.79,0.9,0,0.61,0.62,0.35,0.06,0.9,172,0.18,0,0
Mining,Odisha,Jharsuguda,16.43,32,0.29,0.83,0,0.86,0.29,0.73,0.57,0.78,143,0.62,0,0
Railways,West Bengal,Paschim Bardhaman,16.67,21,0.55,0.45,0,0.21,0.95,0.46,0.92,0.67,131,0.42,0,0
Highways,Karnataka,Mysuru,146.4,70,0.21,0.59,0,0.21,0.33,0.34,0.49,0.6,196,0.61,0,0
Railways,West Bengal,Hooghly,83.74,69,0.5,0.79,0,0.21,0.99,0.23,0.24,0.48,187,0.28,1,200
Railways,Maharashtra,Thane,52.44,90,0.57,0.35,1,0.54,0.48,0.97,0.47,0.36,114,0.23,1,226
Industrial Corridors,West Bengal,Paschim Bardhaman,5.76,21,0.48,0.22,0,0.4,0.83,0.57,0.59,0.25,140,0.13,0,0
Mining,Odisha,Sundargarh,52.59,79,0.16,0.86,0,0.75,0.68,0.2,0.77,0.34,220,0.23,0,0
Highways,Maharashtra,Nagpur,50.37,83,0.51,0.31,1,0.91,0.94,0.28,0.46,0.46,204,0.58,0,0
Railways,West Bengal,Murshidabad,11.91,25,0.5,0.89,1,0.66,0.66,0.47,0.21,0.59,107,0.4,0,0
Urban Infrastructure,Odisha,Cuttack,40.73,49,0.32,0.91,0,0.29,0.62,0.59,0.22,0.35,160,0.32,1,237
Solar Parks,Karnataka,Mysuru,76.8,94,0.88,0.56,0,0.94,0.69,0.26,0.86,0.93,178,0.39,0,0
Railways,West Bengal,Howrah,52.22,89,0.46,0.83,1,0.58,0.81,0.35,0.26,0.26,204,0.59,0,0
Highways,Odisha,Bhubaneswar,19.22,20,0.83,0.48,1,0.75,0.91,0.81,0.71,0.27,165,0.17,1,227
Railways,Gujarat,Kutch,33.47,66,0.19,0.87,0,0.9,0.34,0.48,0.29,0.71,181,0.63,0,0
Solar Parks,Madhya Pradesh,Ujjain,59.4,82,0.37,0.84,1,0.99,0.28,0.1,0.7,0.77,201,0.45,1,213
Highways,Gujarat,Ahmedabad,34.73,76,0.25,0.26,1,0.56,0.13,0.15,0.12,0.93,207,0.56,1,281
Mining,Madhya Pradesh,Indore,90.33,53,0.45,0.65,0,0.83,0.43,0.5,0.24,0.6,151,0.37,0,0
Highways,Uttar Pradesh,Lucknow,45.45,49,0.19,0.7,0,0.61,0.86,0.15,0.42,0.32,162,0.19,0,0
Mining,Uttar Pradesh,Gorakhpur,60.48,96,0.47,0.2,1,0.54,0.16,0.26,0.51,0.9,125,0.39,1,284
Highways,Uttar Pradesh,Gorakhpur,63.89,105,0.4,0.96,1,0.58,0.58,0.76,0.37,0.94,147,0.09,1,187
Water Resources,Karnataka,Dakshina Kannada,14.11,36,0.29,0.52,0,0.54,0.73,0.53,0.57,0.89,141,0.56,0,0
Solar Parks,Gujarat,Vadodara,34.47,47,0.65,0.6,1,0.48,0.85,0.53,0.34,0.85,151,0.44,0,0
Solar Parks,Madhya Pradesh,Ujjain,25.38,66,0.91,0.35,1,0.75,0.63,0.64,0.66,0.26,155,0.22,1,231
Highways,Odisha,Bhubaneswar,76.33,39,0.28,0.68,0,0.32,0.27,0.81,0.51,0.84,196,0.21,1,158
Water Resources,Maharashtra,Pune,47.97,80,0.71,0.83,1,0.65,0.97,0.24,0.68,0.91,175,0.59,0,0
Railways,Odisha,Jharsuguda,28.49,46,0.73,0.66,1,0.74,0.19,0.26,0.44,0.61,102,0.55,1,280
Solar Parks,Maharashtra,Pune,11.88,25,0.52,0.81,0,0.9,0.79,0.21,0.84,0.78,184,0.51,1,220
Mining,Tamil Nadu,Coimbatore,9.23,23,0.86,0.77,1,0.4,0.18,0.94,0.39,0.7,135,0.3,1,316
Mining,Odisha,Sundargarh,42.45,69,0.92,0.39,1,0.87,0.23,0.62,0.33,0.42,110,0.57,1,268
Urban Infrastructure,West Bengal,Hooghly,18.66,20,0.41,0.54,0,0.95,0.91,0.18,0.55,0.64,108,0.2,1,152
Industrial Corridors,West Bengal,Hooghly,56.42,28,0.65,0.32,0,0.68,0.78,0.3,0.51,0.87,167,0.06,0,0
Water Resources,Bihar,Bhagalpur,8.89,33,0.66,0.23,0,0.79,0.43,0.75,0.52,0.57,207,0.31,1,194
Industrial Corridors,Gujarat,Surat,118.43,141,0.44,0.25,1,0.47,0.67,0.13,0.77,0.64,150,0.6,1,314
Industrial Corridors,Maharashtra,Nagpur,56.32,113,0.37,0.94,0,0.96,0.51,0.75,0.58,0.6,202,0.39,0,0
Mining,Maharashtra,Thane,35.85,75,0.89,0.97,1,0.7,0.16,0.92,0.85,0.41,163,0.19,0,0
Urban Infrastructure,Gujarat,Rajkot,127.29,76,0.77,0.27,0,0.38,0.75,0.15,0.61,0.68,62,0.44,0,0
Industrial Corridors,Karnataka,Dakshina Kannada,70.72,52,0.2,0.46,1,0.46,0.79,0.27,0.07,0.58,187,0.5,1,241
Industrial Corridors,Bihar,Bhagalpur,22.65,20,0.2,0.29,1,0.66,0.89,0.1,0.83,0.37,135,0.38,1,239
Highways,Karnataka,Dakshina Kannada,35.24,32,0.88,0.85,1,0.31,0.59,0.2,0.81,0.87,123,0.56,1,235
Highways,Karnataka,Belagavi,6.88,9,0.17,0.59,1,0.78,0.71,0.66,0.09,0.91,187,0.41,1,206
Highways,Karnataka,Mysuru,77.58,96,0.69,0.68,0,0.3,0.49,0.14,0.16,0.24,166,0.11,1,211
Railways,Gujarat,Rajkot,26.13,47,0.29,0.62,0,0.63,0.39,0.48,0.55,0.67,156,0.54,0,0
Industrial Corridors,Karnataka,Mysuru,6.81,9,0.13,0.75,0,0.73,0.47,0.55,0.09,0.51,164,0.14,0,0
Railways,West Bengal,Paschim Bardhaman,12.87,15,0.15,0.45,1,0.87,0.92,0.92,0.42,0.59,121,0.58,0,0
Urban Infrastructure,Uttar Pradesh,Varanasi,66.47,75,0.42,0.31,0,0.76,0.25,0.53,0.93,0.48,239,0.36,0,0
Water Resources,Tamil Nadu,Madurai,120.43,145,0.17,0.21,0,0.82,0.32,0.23,0.21,0.56,167,0.49,1,266
Mining,Maharashtra,Pune,33.66,37,0.61,0.55,0,0.92,0.65,0.36,0.24,0.44,167,0.63,1,212
Industrial Corridors,Maharashtra,Thane,15.09,45,0.65,0.91,1,0.64,0.2,0.7,0.66,0.29,156,0.31,1,244
Mining,Tamil Nadu,Kanchipuram,10.63,30,0.42,0.44,1,0.86,0.9,0.2,0.09,0.43,87,0.33,1,315
Water Resources,Gujarat,Ahmedabad,102.69,93,0.73,0.35,0,0.31,0.14,0.31,0.79,0.7,129,0.55,1,212
Highways,Odisha,Jharsuguda,47.45,90,0.52,0.92,0,0.83,0.78,1.0,0.23,0.24,104,0.12,0,0
Industrial Corridors,Gujarat,Surat,25.43,16,0.47,0.28,0,0.3,0.44,0.1,0.53,0.49,100,0.07,1,191
Solar Parks,Maharashtra,Aurangabad,21.02,42,0.45,0.24,1,0.94,0.15,0.24,0.27,0.23,90,0.41,1,336
Railways,Maharashtra,Nagpur,56.68,65,0.47,0.89,1,0.4,0.86,0.86,0.64,0.47,131,0.15,0,0
Railways,Tamil Nadu,Coimbatore,55.45,31,0.92,0.75,1,0.25,0.68,0.19,0.58,0.27,160,0.2,1,270
Industrial Corridors,Karnataka,Bengaluru Urban,16.16,21,0.68,0.53,0,0.23,0.11,0.13,0.9,0.45,96,0.64,0,0
Water Resources,Gujarat,Surat,13.28,34,0.37,0.79,0,0.27,0.34,0.21,0.45,0.83,191,0.44,0,0
Highways,Madhya Pradesh,Indore,13.82,19,0.72,0.78,1,0.5,0.42,0.72,0.84,0.66,173,0.56,1,288
Railways,Tamil Nadu,Tiruchirappalli,22.77,42,0.38,0.23,0,0.57,0.39,0.99,0.57,0.71,149,0.59,1,178
Highways,West Bengal,Hooghly,19.07,47,0.21,0.73,0,0.92,0.55,0.63,0.87,0.58,257,0.12,0,0
Urban Infrastructure,Maharashtra,Pune,120.84,138,0.5,0.7,1,0.44,0.57,0.21,0.31,0.89,149,0.61,0,0
Mining,Tamil Nadu,Tiruchirappalli,22.13,46,0.74,0.95,1,0.3,0.46,0.27,0.54,0.61,195,0.57,1,244
Water Resources,Gujarat,Rajkot,12.19,35,0.42,0.95,0,0.77,0.4,0.58,0.4,0.28,169,0.08,0,0
Solar Parks,Maharashtra,Nashik,12.75,26,0.84,0.49,1,0.22,0.55,0.74,0.11,0.9,224,0.64,1,259
Mining,Odisha,Jharsuguda,28.58,43,0.43,0.66,0,0.9,0.13,0.7,0.57,0.3,208,0.32,0,0
Mining,Tamil Nadu,Kanchipuram,7.71,17,0.4,0.31,0,0.47,0.68,0.62,0.76,0.95,146,0.63,0,0
Urban Infrastructure,Bihar,Muzaffarpur,31.56,31,0.95,0.25,1,0.65,0.65,0.99,0.55,0.53,148,0.54,1,273
Railways,Maharashtra,Nashik,11.37,18,0.51,0.54,1,0.27,0.35,0.28,0.3,0.26,99,0.31,1,314
Solar Parks,Gujarat,Ahmedabad,83.67,60,0.78,0.74,1,0.23,0.26,0.26,0.29,0.85,165,0.36,1,262
Railways,Uttar Pradesh,Kanpur,36.35,60,0.78,0.64,1,0.82,0.17,0.87,0.26,0.27,189,0.22,1,286
Industrial Corridors,Madhya Pradesh,Bhopal,180.7,245,0.89,0.54,0,0.49,0.63,0.36,0.93,0.33,157,0.34,1,185
Mining,Rajasthan,Kota,27.59,57,0.17,0.84,0,0.99,0.61,0.4,0.41,0.51,223,0.11,0,0
Industrial Corridors,Karnataka,Ballari,2.7,26,0.33,0.82,0,0.57,0.58,0.59,0.34,0.71,166,0.6,1,162
Highways,Rajasthan,Kota,106.29,70,0.75,0.77,0,0.86,0.99,0.44,0.43,0.29,216,0.48,1,187
Mining,Gujarat,Surat,49.48,64,0.58,0.26,0,0.98,0.58,0.36,0.15,0.67,152,0.53,0,0
Railways,West Bengal,Howrah,56.01,99,0.58,0.82,0,0.35,0.75,0.93,0.23,0.79,107,0.37,0,0
Mining,West Bengal,Murshidabad,14.85,29,0.24,0.92,0,0.82,0.2,0.22,0.51,0.29,131,0.13,0,0
Highways,Uttar Pradesh,Kanpur,32.0,56,0.34,0.25,0,0.12,0.37,0.46,0.77,0.69,158,0.37,1,199
Urban Infrastructure,Karnataka,Bengaluru Urban,38.44,51,0.54,0.51,0,0.71,0.35,0.1,0.84,0.92,126,0.25,0,0
Industrial Corridors,Bihar,Bhagalpur,27.38,22,0.34,0.97,1,0.77,0.62,0.83,0.83,0.93,85,0.06,0,0
Industrial Corridors,Uttar Pradesh,Kanpur,8.27,26,0.28,0.67,0,0.53,0.4,0.25,0.9,0.32,69,0.42,1,158
Railways,Rajasthan,Bhilwara,303.37,213,0.17,0.6,0,0.25,0.68,0.8,0.16,0.77,205,0.56,1,230
Mining,Uttar Pradesh,Lucknow,64.63,125,0.23,0.34,0,0.66,0.72,0.23,0.09,0.83,177,0.48,1,258
Railways,Rajasthan,Jodhpur,46.36,60,0.75,0.64,0,0.91,0.13,0.48,0.15,0.87,172,0.18,0,0
Urban Infrastructure,Maharashtra,Nagpur,94.74,108,0.71,0.54,0,0.94,0.68,0.76,0.59,0.44,167,0.54,0,0
Mining,West Bengal,Murshidabad,55.44,78,0.14,0.3,0,0.77,0.21,0.34,0.55,0.4,135,0.24,0,0
Mining,Maharashtra,Pune,19.26,50,0.27,0.56,0,0.34,0.52,0.38,0.65,0.24,195,0.18,1,178
Railways,Madhya Pradesh,Gwalior,90.0,101,0.58,0.33,0,0.88,0.75,0.7,0.38,0.5,81,0.63,1,197
Railways,Karnataka,Belagavi,65.48,38,0.37,0.77,0,0.9,0.73,0.27,0.4,0.29,66,0.06,1,149
Highways,Bihar,Patna,19.86,37,0.8,0.96,0,0.43,0.37,0.96,0.54,0.79,150,0.15,0,0
Water Resources,Rajasthan,Jodhpur,62.3,65,0.77,0.57,0,0.26,0.35,0.27,0.12,0.31,165,0.33,0,0
Water Resources,Bihar,Darbhanga,27.32,65,0.86,0.69,1,0.89,0.5,0.77,0.77,0.81,120,0.15,1,224
Urban Infrastructure,Rajasthan,Bhilwara,39.13,23,0.58,0.54,1,0.9,0.27,0.82,0.88,0.28,88,0.15,1,450
Water Resources,Gujarat,Vadodara,53.5,73,0.4,0.31,0,0.19,0.98,0.44,0.4,0.56,186,0.43,1,192
Highways,Uttar Pradesh,Gorakhpur,98.97,63,0.62,0.96,1,0.97,0.41,0.24,0.72,0.49,141,0.54,1,302
Industrial Corridors,Madhya Pradesh,Ujjain,19.75,51,0.18,0.3,0,0.58,0.93,0.25,0.54,0.65,191,0.45,0,0
Mining,West Bengal,North 24 Parganas,44.34,45,0.11,0.29,0,0.99,0.92,0.99,0.26,0.59,218,0.11,0,0
Railways,Rajasthan,Kota,166.1,135,0.11,0.56,1,0.5,0.43,0.75,0.11,0.65,87,0.59,0,0
Mining,Bihar,Muzaffarpur,28.77,74,0.45,0.71,0,0.58,0.33,0.51,0.27,0.2,169,0.6,1,212
Mining,Madhya Pradesh,Indore,38.75,60,0.29,0.48,0,0.34,0.79,0.33,0.59,0.3,171,0.22,0,0
Solar Parks,Odisha,Cuttack,165.9,294,0.23,0.35,1,0.91,0.31,0.12,0.09,0.59,193,0.38,1,261
Industrial Corridors,Odisha,Jharsuguda,55.15,48,0.62,0.84,1,0.5,0.57,0.7,0.8,0.37,135,0.34,0,0
Solar Parks,Maharashtra,Pune,10.18,15,0.95,0.48,1,0.83,0.2,0.96,0.92,0.26,162,0.45,0,0
Water Resources,West Bengal,Murshidabad,17.52,46,0.25,0.35,0,0.17,0.45,0.2,0.13,0.36,193,0.64,0,0
Mining,Gujarat,Rajkot,57.49,100,0.56,0.48,0,0.81,0.17,0.78,0.27,0.78,179,0.64,0,0
Railways,Bihar,Muzaffarpur,46.45,52,0.2,0.37,1,0.54,0.36,0.24,0.66,0.61,230,0.36,1,239
Mining,Uttar Pradesh,Kanpur,37.72,81,0.89,0.61,0,0.1,0.7,0.81,0.78,0.34,120,0.11,1,178
Industrial Corridors,Uttar Pradesh,Agra,186.6,235,0.35,0.72,1,0.3,0.99,0.43,0.36,0.21,169,0.25,1,234
Solar Parks,Bihar,Darbhanga,20.21,44,0.85,0.82,1,0.27,0.33,0.74,0.51,0.47,156,0.3,0,0
Railways,Karnataka,Mysuru,31.2,37,0.34,0.38,0,0.78,0.53,0.93,0.85,0.47,150,0.37,1,171
Mining,Gujarat,Ahmedabad,6.89,29,0.79,0.33,1,0.53,0.5,0.66,0.4,0.75,186,0.63,0,0
Urban Infrastructure,Madhya Pradesh,Ujjain,83.81,160,0.28,0.22,0,0.24,0.27,0.93,0.12,0.89,165,0.21,0,0
Industrial Corridors,Rajasthan,Kota,17.48,41,0.35,0.38,1,0.33,0.65,0.31,0.95,0.48,112,0.37,1,229
Industrial Corridors,Karnataka,Bengaluru Urban,77.15,87,0.26,0.22,0,0.55,0.75,0.98,0.21,0.72,202,0.22,1,286
Urban Infrastructure,Rajasthan,Udaipur,70.93,49,0.32,0.47,0,0.12,0.23,0.89,0.09,0.68,186,0.6,1,282
Mining,Rajasthan,Jodhpur,216.87,128,0.81,0.31,0,0.48,0.78,0.2,0.42,0.52,226,0.64,1,222
Industrial Corridors,Karnataka,Belagavi,55.67,71,0.64,0.65,0,0.71,0.73,0.47,0.16,0.25,192,0.57,0,0
Railways,Maharashtra,Thane,24.91,18,0.44,0.5,1,0.57,0.28,0.93,0.93,0.56,150,0.25,1,244
Mining,Odisha,Jharsuguda,47.6,55,0.93,0.27,0,0.64,0.68,0.17,0.39,0.47,150,0.22,1,218
Mining,Rajasthan,Kota,18.04,28,0.5,0.51,1,0.39,0.45,0.51,0.79,0.61,206,0.31,1,244
Solar Parks,Karnataka,Bengaluru Urban,42.75,76,0.92,0.36,0,0.26,0.71,0.75,0.21,0.29,125,0.5,0,0
Industrial Corridors,Karnataka,Dakshina Kannada,28.2,17,0.27,0.73,0,0.83,0.55,0.13,0.17,0.74,119,0.06,0,0
Industrial Corridors,Tamil Nadu,Coimbatore,31.3,37,0.87,0.48,1,0.92,0.14,0.78,0.63,0.79,169,0.65,1,231
Urban Infrastructure,Maharashtra,Aurangabad,16.14,41,0.11,0.31,1,0.56,0.81,0.43,0.87,0.49,92,0.58,0,0
Solar Parks,West Bengal,Murshidabad,42.11,62,0.56,0.47,0,0.37,0.6,0.32,0.15,0.33,175,0.06,1,220
Water Resources,Tamil Nadu,Salem,64.03,65,0.46,0.38,0,0.56,0.75,0.62,0.58,0.67,181,0.28,1,168
Solar Parks,Tamil Nadu,Coimbatore,8.83,26,0.55,0.82,1,0.89,0.21,0.59,0.13,0.92,148,0.46,0,0
Industrial Corridors,Bihar,Patna,19.09,25,0.57,0.97,1,0.72,0.75,0.89,0.78,0.73,223,0.19,1,317
Mining,Odisha,Jharsuguda,37.88,67,0.43,0.22,0,0.87,0.47,0.71,0.87,0.29,210,0.14,1,197
Solar Parks,Karnataka,Belagavi,5.06,14,0.95,0.74,0,0.4,0.82,0.48,0.62,0.5,124,0.43,1,296
Urban Infrastructure,Odisha,Jharsuguda,133.25,244,0.93,0.41,0,0.74,0.64,0.69,0.67,0.89,189,0.59,1,220
Solar Parks,Gujarat,Rajkot,18.75,28,0.92,0.25,1,0.69,0.42,0.78,0.1,0.68,204,0.62,1,261
Urban Infrastructure,Bihar,Darbhanga,15.64,27,0.93,0.21,0,0.61,0.28,0.94,0.12,0.31,163,0.06,1,288
Water Resources,West Bengal,Murshidabad,28.05,44,0.77,0.89,1,0.58,0.83,0.73,0.21,0.74,140,0.57,1,217
Solar Parks,Odisha,Angul,36.96,36,0.94,0.48,1,0.6,0.6,0.59,0.3,0.47,110,0.39,1,319
Urban Infrastructure,Uttar Pradesh,Varanasi,18.08,33,0.86,0.98,0,0.86,0.99,0.44,0.73,0.57,134,0.19,0,0
Solar Parks,Rajasthan,Jaipur,72.55,63,0.45,0.55,0,0.92,0.44,0.9,0.44,0.51,111,0.42,0,0
Water Resources,Gujarat,Rajkot,45.59,70,0.77,0.35,0,0.2,0.72,0.81,0.12,0.74,201,0.65,1,213
Solar Parks,Maharashtra,Nagpur,16.95,26,0.88,0.81,0,0.61,0.66,0.17,0.82,0.36,148,0.22,1,227
Railways,West Bengal,Howrah,21.8,52,0.71,0.92,0,0.93,0.67,0.73,0.94,0.49,183,0.22,0,0
Urban Infrastructure,Gujarat,Rajkot,9.84,26,0.46,0.84,0,0.22,0.76,0.58,0.46,0.76,216,0.47,0,0
Water Resources,Rajasthan,Kota,12.15,29,0.16,0.78,0,0.47,0.23,0.19,0.51,0.73,169,0.08,0,0
Urban Infrastructure,Bihar,Bhagalpur,45.15,81,0.79,0.46,1,0.18,0.59,0.61,0.12,0.35,212,0.54,1,355
Urban Infrastructure,Rajasthan,Bhilwara,17.09,26,0.91,0.25,1,0.2,0.56,0.27,0.39,0.46,144,0.44,1,307
Highways,Tamil Nadu,Salem,140.25,133,0.41,0.36,1,0.91,0.41,0.74,0.38,0.21,177,0.55,1,255
Water Resources,Rajasthan,Jaipur,35.05,30,0.23,0.55,0,0.5,0.49,0.35,0.92,0.6,169,0.19,0,0
Solar Parks,Tamil Nadu,Salem,11.22,42,0.38,0.95,0,0.72,0.57,0.24,0.64,0.41,128,0.56,0,0
Urban Infrastructure,Bihar,Darbhanga,13.27,15,0.6,0.76,0,0.23,0.39,0.17,0.75,0.21,146,0.32,1,258
Industrial Corridors,Madhya Pradesh,Gwalior,76.89,119,0.37,0.85,0,0.12,0.36,0.54,0.17,0.52,223,0.13,1,213
Highways,Tamil Nadu,Madurai,31.15,31,0.62,0.42,0,0.9,0.76,0.28,0.43,0.9,144,0.59,1,166
Railways,Maharashtra,Nashik,73.23,91,0.92,0.73,1,0.62,0.16,0.87,0.22,0.89,85,0.47,0,0
Urban Infrastructure,Rajasthan,Bhilwara,24.7,30,0.67,0.87,0,0.12,0.38,0.1,0.82,0.48,144,0.15,0,0
Urban Infrastructure,Rajasthan,Jaipur,21.15,57,0.41,0.57,1,0.99,0.69,0.86,0.19,0.54,126,0.2,1,231
Highways,Maharashtra,Pune,81.09,150,0.9,0.54,0,0.54,0.29,0.57,0.44,0.38,180,0.21,0,0
Solar Parks,Uttar Pradesh,Varanasi,16.66,29,0.58,0.76,0,0.53,0.62,0.93,0.1,0.25,187,0.63,1,189
Industrial Corridors,Karnataka,Dakshina Kannada,48.97,77,0.21,0.64,1,0.66,0.37,0.28,0.62,0.72,176,0.58,0,0
Railways,Madhya Pradesh,Gwalior,27.95,53,0.52,0.97,0,0.11,0.86,0.19,0.48,0.8,141,0.26,1,180
Urban Infrastructure,West Bengal,Murshidabad,66.89,92,0.66,0.53,0,0.61,0.41,0.66,0.5,0.86,162,0.33,0,0
Solar Parks,Tamil Nadu,Coimbatore,141.85,160,0.81,0.34,0,0.67,0.31,0.74,0.14,0.9,145,0.22,0,0
Water Resources,Maharashtra,Aurangabad,24.2,51,0.9,0.57,0,0.37,0.58,0.44,0.51,0.89,94,0.5,0,0
Industrial Corridors,Bihar,Darbhanga,21.38,39,0.37,0.38,0,0.75,0.22,0.11,0.56,0.22,154,0.15,1,211
Water Resources,Tamil Nadu,Coimbatore,56.41,50,0.23,0.64,1,0.44,0.82,0.47,0.92,0.93,278,0.25,1,208
Industrial Corridors,Karnataka,Bengaluru Urban,13.93,16,0.16,0.3,0,0.75,0.71,0.31,0.08,0.48,113,0.41,1,195
Railways,Bihar,Bhagalpur,120.68,137,0.73,0.94,0,0.23,0.79,0.41,0.88,0.86,76,0.58,1,190
Mining,Gujarat,Surat,105.3,77,0.78,0.87,1,0.92,0.46,0.56,0.48,0.53,224,0.43,1,219
Industrial Corridors,Rajasthan,Udaipur,14.89,22,0.45,0.32,0,0.89,0.85,0.73,0.24,0.52,180,0.61,0,0
Mining,Gujarat,Ahmedabad,9.33,6,0.44,0.33,0,0.24,0.54,0.97,0.65,0.21,173,0.61,1,187
Water Resources,Tamil Nadu,Madurai,13.09,21,0.91,0.6,0,0.94,0.19,0.23,0.52,0.24,143,0.48,1,243
Industrial Corridors,Karnataka,Bengaluru Urban,13.25,26,0.88,0.8,1,0.6,0.3,0.71,0.25,0.7,170,0.22,1,271
Railways,Madhya Pradesh,Gwalior,62.89,75,0.3,0.37,0,0.73,0.74,0.31,0.61,0.9,162,0.46,1,153
Highways,Tamil Nadu,Salem,114.36,173,0.76,0.25,1,0.86,0.91,0.3,0.48,0.37,218,0.17,1,430
Railways,Maharashtra,Aurangabad,62.31,89,0.63,0.63,0,0.18,0.19,0.67,0.67,0.27,201,0.25,1,189
Railways,Odisha,Bhubaneswar,27.41,52,0.23,0.74,0,0.25,0.88,0.8,0.67,0.36,187,0.5,0,0
Highways,Tamil Nadu,Kanchipuram,43.55,65,0.4,0.39,1,0.36,0.82,0.98,0.48,0.36,129,0.56,0,0
Highways,Rajasthan,Kota,16.51,7,0.25,0.78,0,0.53,0.42,0.79,0.4,0.42,170,0.3,0,0
Solar Parks,Rajasthan,Jodhpur,79.66,81,0.35,0.94,0,0.41,0.72,0.24,0.11,0.27,132,0.36,0,0
Industrial Corridors,Tamil Nadu,Salem,46.79,24,0.62,0.31,1,0.56,0.27,0.3,0.49,0.38,215,0.28,1,287
Water Resources,Bihar,Gaya,61.47,115,0.42,0.6,1,0.27,0.83,0.79,0.27,0.89,127,0.34,1,213
